Day,ClassDesc,SalesDollars
January,SS TEES,1969
January,LEGGING,1853
January,LS SHIRTS,1748
January,LS TEES,1182
January,LS PATTERN DRESS SHIRTS,1108
February,LEGGING,58070
February,LS SHIRTS,43764
February,SS TEES,38780
February,DAY/CASUAL,30519
February,TANKS,30151
March,SS TEES,82426
March,LEGGING,74227
March,LS SHIRTS,71176
March,DAY/CASUAL,59951
March,TANKS,51274
April,SS TEES,80411
April,LEGGING,69677
April,DAY/CASUAL,58402
April,LS SHIRTS,55112
April,LS SOLID DRESS SHIRTS,38679
May,SS TEES,94816
May,DAY/CASUAL,75048
May,LEGGING,70389
May,LS SHIRTS,65933
May,LS SOLID DRESS SHIRTS,46336
June,SS TEES,89332
June,DAY/CASUAL,79911
June,LS SHIRTS,59377
June,LEGGING,53690
June,PARTY/GOING OUT,46372
July,SS TEES,109541
July,LEGGING,71033
July,LS SHIRTS,69504
July,DAY/CASUAL,63714
July,TANKS,53203
August,SS TEES,70597
August,LEGGING,70213
August,LS SHIRTS,65572
August,DAY/CASUAL,47426
August,PARTY/GOING OUT,43221
September,LEGGING,69870
September,LS SHIRTS,62563
September,PULLOVERS,51287
September,SS TEES,50953
September,PARTY/GOING OUT,42547
October,LEGGING,81771
October,PULLOVERS,61333
October,LS SHIRTS,55871
October,LS TEES,44517
October,TUNICS,36461
November,LEGGING,83078
November,PULLOVERS,78217
November,LS TEES,52588
November,TUNICS,51563
November,LS SHIRTS,47657
December,PULLOVERS,71196
December,LEGGING,57467
December,LS TEES,50005
December,PARTY/GOING OUT,36817
December,LS SHIRTS,34440
